Name,Team,Pos,Throws_LR,Inn,PO,PO/Inn,OAA,OAA/Inn,Sprint_Speed
Adam Duvall,ATL,RF,R,390.0,86,0.2205,1,0.0026,28.1
Adam Frazier,KCR,RF,R,160.0,40,0.2500,0,0.0000,26.7
Addison Barger,TOR,RF,R,174.0,40,0.2299,0,0.0000,28.0
Adolis García,TEX,RF,R,1124.7,253,0.2249,-13.0,-0.0116,26.8
Alec Burleson,STL,RF,L,324.0,70,0.2160,-6.0,-0.0185,25.5
Alex Call,WSN,RF,R,213.3,64,0.3000,1,0.0047,28.0
Amed Rosario,2 Tms,RF,R,183.3,47,0.2564,-4,-0.0218,29.0
Andy Pages,LAD,RF,R,229.7,63,0.2743,1,0.0044,28.3
Anthony Santander,BAL,RF,R,1119.3,262,0.2341,-2,-0.0018,26.0
Austin Slater,3 Tms,RF,R,198.3,45,0.2269,1,0.0050,28.2
Avisaíl García,MIA,RF,R,114.0,38,0.3333,1,0.0088,28.0
Ben Gamel,2 Tms,RF,L,163.0,34,0.2086,-2,-0.0123,26.9
Bryan De La Cruz,2 Tms,RF,R,391.7,93,0.2374,-2,-0.0051,27.5
Bryan Reynolds,PIT,RF,R,157.0,30,0.1911,-3,-0.0191,27.5
Bryce Johnson,SDP,RF,R,177.7,40,0.2251,0,0.0000,28.1
Charlie Blackmon,COL,RF,L,184.7,38,0.2057,-2,-0.0108,27.4
Chas McCormick,HOU,RF,R,244.3,63,0.2579,2,0.0082,28.7
Cody Bellinger,CHC,RF,L,389.3,72,0.1849,-1,-0.0026,28.4
Connor Joe,PIT,RF,R,315.3,73,0.2315,0,0.0000,26.9
Corbin Carroll,ARI,RF,L,645.0,153,0.2372,6,0.0093,29.6
Corey Julks,CHW,RF,R,172.7,40,0.2316,1,0.0058,28.5
Dane Myers,MIA,RF,R,146.0,40,0.2740,0,0.0000,28.5
David Peralta,SDP,RF,L,393.0,73,0.1858,-4,-0.0102,26.9
Daz Cameron,OAK,RF,R,119.3,29,0.2431,0,0.0000,28.4
DJ Stewart,NYM,RF,R,160.0,34,0.2125,-1,-0.0063,27.0
Dominic Canzone,SEA,RF,R,286.0,76,0.2657,0,0.0000,27.1
Dominic Fletcher,CHW,RF,L,343.3,99,0.2884,4,0.0117,26.4
Dylan Carlson,2 Tms,RF,L,192.7,44,0.2283,-2,-0.0104,27.3
Dylan Crews,WSN,RF,R,242.7,58,0.2390,1,0.0041,29.3
Eddie Rosario,WSN,RF,R,187.7,54,0.2877,-4,-0.0213,27.3
Edward Olivares,PIT,RF,R,326.7,75,0.2296,-6.0,-0.0184,27.8
Fernando Tatis Jr.,SDP,RF,R,822.7,171,0.2079,-1,-0.0012,28.4
Garrett Mitchell,MIL,RF,R,146.0,35,0.2397,0,0.0000,29.5
Gavin Sheets,CHW,RF,L,336.7,67,0.1990,-5.0,-0.0149,26.7
George Springer,TOR,RF,R,1029.7,215,0.2088,-1,-0.0010,28.1
Griffin Conine,MIA,RF,R,116.0,27,0.2328,1,0.0086,27.5
Gustavo Campero,LAA,RF,R,107.3,25,0.2330,-1,-0.0093,28.3
