Team,IP,HR,FB%,HR/FB,FB,BIP,Catchable_FB,Catchable_FB%,cFB/IP
ARI,1443.3,181,36.1%,11.7%,1547,4285,1366,33.3%,0.9464
ATL,1443.3,150,34.7%,11.2%,1339,3860,1189,32.1%,0.8240
BAL,1442.0,175,38.8%,11.0%,1591,4100,1416,36.1%,0.9819
BOS,1452.7,189,36.7%,12.2%,1549,4221,1360,33.7%,0.9363
CHC,1432.3,181,39.3%,11.2%,1616,4112,1435,36.5%,1.0019
CHW,1420.0,201,40.6%,12.0%,1675,4126,1474,37.6%,1.0380
CIN,1428.0,196,42.2%,11.4%,1719,4074,1523,39.3%,1.0667
CLE,1428.0,179,39.8%,11.4%,1570,3945,1391,36.9%,0.9742
COL,1426.7,221,35.5%,13.7%,1613,4544,1392,32.2%,0.9758
DET,1447.0,159,36.7%,10.5%,1514,4126,1355,34.2%,0.9366
HOU,1432.0,183,38.0%,12.4%,1476,3884,1293,34.9%,0.9028
KCR,1428.0,146,37.4%,9.6%,1521,4066,1375,35.1%,0.9628
LAA,1431.0,202,39.0%,12.4%,1629,4177,1427,35.9%,0.9972
LAD,1445.7,198,39.7%,12.3%,1610,4055,1412,36.6%,0.9765
MIA,1437.3,195,37.6%,12.2%,1598,4251,1403,34.6%,0.9764
MIL,1446.0,196,39.5%,12.2%,1607,4067,1411,36.4%,0.9755
MIN,1440.3,190,40.2%,11.7%,1624,4040,1434,37.2%,0.9956
NYM,1442.3,165,37.2%,11.3%,1460,3925,1295,34.4%,0.8980
NYY,1452.7,181,39.5%,11.4%,1588,4020,1407,36.6%,0.9683
OAK,1436.7,169,40.2%,9.9%,1707,4246,1538,37.7%,1.0706
PHI,1442.7,181,33.7%,13.2%,1371,4069,1190,30.6%,0.8250
PIT,1438.7,166,38.2%,10.5%,1581,4139,1415,35.6%,0.9835
SDP,1439.3,169,38.8%,10.9%,1550,3996,1381,36.1%,0.9598
SEA,1433.0,183,40.8%,11.4%,1605,3934,1422,37.9%,0.9925
SFG,1433.7,153,33.3%,11.4%,1342,4030,1189,30.7%,0.8294
STL,1444.0,174,34.8%,11.9%,1462,4202,1288,32.0%,0.8921
TBR,1440.7,196,41.4%,11.6%,1690,4081,1494,38.4%,1.0368
TEX,1427.7,198,39.1%,12.4%,1597,4084,1399,36.0%,0.9797
TOR,1427.3,208,38.9%,13.0%,1600,4113,1392,35.6%,0.9753
WSN,1434.0,168,36.2%,11.0%,1527,4219,1359,33.6%,0.9479
